afghanistan 	kabul
albania 	tirana (tirane)
algeria 	algiers
andorra 	andorra la vella
angola 		luanda
antigua and barbuda 	saint john's
argentina 	buenos aires
armenia 	yerevan
australia 	canberra
austria 	vienna
azerbaijan 	baku
bahamas 	nassau
bahrain 	manama
bangladesh 	dhaka
barbados 	bridgetown
belarus 	minsk
belgium 	brussels
belize 		belmopan
benin 		porto novo
bhutan 		thimphu
bolivia 	la paz (administrative), sucre (official)
bosnia and herzegovina 	sarajevo
botswana 	gaborone
brazil 		brasilia
brunei 	bandar seri begawan
bulgaria 	sofia
burkina faso 	ouagadougou
burundi 	gitega
cambodia 	phnom penh
cameroon 	yaounde
canada 		ottawa
cape verde 	praia
central african republic 	bangui
chad 		n'djamena
chile 		santiago
china 		beijing
colombia 	bogota
comoros 	moroni
congo, democratic republic of the 	kinshasa
congo, republic of the 	brazzaville
costa rica 	san jose
côte d'ivoire (ivory coast) 	yamoussoukro
croatia 	zagreb
cuba 		havana
cyprus 		nicosia
czech republic (czechia) 	prague
denmark 	copenhagen
djibouti 	djibouti
dominica 	roseau
dominican republic 	santo domingo
east timor 	dili
ecuador 	quito
egypt 		cairo
el salvador 	san salvador
england 	london
equatorial guinea 	malabo
eritrea 	asmara
estonia 	tallinn
eswatini (swaziland)	mbabana
ethiopia 	addis ababa
federated states of micronesia 	palikir
fiji 		suva
finland 	helsinki
france 		paris
gabon 		libreville
gambia 		banjul
georgia 	tbilisi
germany 	berlin
ghana 		accra
greece 		athens
grenada 	saint george's
guatemala 	guatemala city
guinea 		conakry
guinea-bissau 	bissau
guyana 		georgetown
haiti 		port au prince
honduras 	tegucigalpa
hungary 	budapest
iceland 	reykjavik
india 		new delhi
indonesia 	jakarta
iran 		tehran
iraq 		baghdad
ireland 	dublin
israel 		jerusalem 
italy 		rome
jamaica 	kingston
japan 		tokyo
jordan 		amman
kazakhstan 	astana
kenya 		nairobi
kiribati 	tarawa atoll
kosovo 		pristina
kuwait 		kuwait city
kyrgyzstan 	bishkek
laos 		vientiane
latvia 		riga
lebanon 	beirut
lesotho 	maseru
liberia 	monrovia
libya 		tripoli
liechtenstein 	vaduz
lithuania 	vilnius
luxembourg 	luxembourg
madagascar 	antananarivo
malawi 		lilongwe
malaysia 	kuala lumpur
maldives 	male
mali 		bamako
malta 		valletta
marshall islands 	majuro
mauritania 	nouakchott
mauritius 	port louis
mexico 		mexico city
moldova 	chisinau
monaco 		monaco
mongolia 	ulaanbaatar
montenegro 	podgorica
morocco 	rabat
mozambique 	maputo
myanmar (burma) 	nay pyi taw
namibia 	windhoek
nauru 	no official capital
nepal 	kathmandu
netherlands 	amsterdam
new zealand 	wellington
nicaragua 	managua
niger 		niamey
nigeria 	abuja
north korea 	pyongyang
north macedonia (macedonia)	skopje
northern ireland 	belfast
norway 		oslo
oman 		muscat
pakistan 	islamabad
palau 		melekeok
palestine 	jerusalem (very limited international recognition)
panama 		panama city
papua new guinea 	port moresby
paraguay 	asuncion
peru 		lima
philippines 	manila
poland 		warsaw
portugal 	lisbon
qatar 		doha
romania 	bucharest
russia 		moscow
rwanda 		kigali
saint kitts and nevis 	basseterre
saint lucia 	castries
saint vincent and the grenadines 	kingstown
samoa 		apia
san marino 	san marino
sao tome and principe 	sao tome
saudi arabia 	riyadh
scotland 	edinburgh
senegal 	dakar
serbia 		belgrade
seychelles 	victoria
sierra leone 	freetown
singapore 	singapore
slovakia 	bratislava
slovenia 	ljubljana
solomon islands 	honiara
somalia 	mogadishu
south africa 	pretoria, bloemfontein, cape town
south korea 	seoul
south sudan 	juba
spain 		madrid
sri lanka 	sri jayawardenapura kotte
sudan 		khartoum
suriname 	paramaribo
sweden 		stockholm
switzerland 	bern
syria 		damascus
taiwan  	taipei
tajikistan 	dushanbe
tanzania 	dodoma
thailand 	bangkok
togo 		lome
tonga 		nuku'alofa
trinidad and tobago 	port of spain
tunisia 	tunis
türkiye (turkey) 	ankara
turkmenistan 	ashgabat
tuvalu 		funafuti
uganda 		kampala
ukraine 	kyiv or kiev
united arab emirates 	abu dhabi
united kingdom 	london
united states 	washington d. c. 
uruguay 	montevideo
uzbekistan 	tashkent
vanuatu 	port vila
vatican city 	vatican city
venezuela 	caracas
vietnam 	hanoi
wales[26] 	cardiff
yemen 		sana'a
zambia 		lusaka
zimbabwe 	harare
